Name,Parent_Name,Marker,Marker_Function,Marker_Source,Marker_Notes,Set,Original_Marker,Original_Name,Original_Parent_Name
M1A,IPRGC,Adcyap1,encodes a secreted proprotein that is further processed into multiple mature peptide that stimulate adenylate cyclase and incrase cAMP levels; products are key mediators of neuroendocrine stress responses,"",M1 type,Curated,Adcyap1,M1a,ipRGCs
M1A,IPRGC,Opn4,"encodes photoreceptive protein; mediates wavelength-specific, light-dependent vascular relaxation","","",Curated,Opn4,M1a,ipRGCs
M1A,IPRGC,A230065h16rik,functions in brain development,"",aka Lbhd2,Curated,A230065h16rik,M1a,ipRGCs
M1B,IPRGC,Nmb,"encodes a member of the bombesin-like family of neuropeptides, which negatively regulate eating behavior; may regulate colonic smooth muscle contraction","",M1 type,Curated,Nmb,M1b,ipRGCs
M4,IPRGC,Il1rapl2,member of the interleukin 1 receptor family; specifically expressed in the nervous system from embryonic day 12.5; located on x chromosome; similar to interleukin 1 accessory proteins,"",M4 type; same cluster as alphaON-S in alpha-RGCs,Curated,Il1rapl2,M4,ipRGCs
M4,IPRGC,Spp1,"osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity","","",Curated,Spp1,M4,ipRGCs
"M3, M5, OR M6",IPRGC,Serpine 2,"inhibit serine proteases like Thrombin, urokinase, plasmin, and trypsin","","",Curated,Serpine 2,"M3, M5, or M6",ipRGCs
"M3, M5, OR M6",IPRGC,Cdhr1,encodes a photoreceptor-specific cadherin that pays a role in outer segment disc morphogenesis,"","cluster could correspond to M3, M5, or M6 types",Curated,Cdhr1,"M3, M5, or M6",ipRGCs
M2,IPRGC,Tbx20,encodes a T-box family member; involved in the regulation of developmental processes; essential for heart development,Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Tbx20,M2,ipRGCs
M2,IPRGC,Spp1,"osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity","","",Curated,Spp1,M2,ipRGCs
M2,IPRGC,A230065h16rik,functions in brain development,"",M2 type; aka Lbhd2,Curated,A230065h16rik,M2,ipRGCs
NOVEL_7,GANGLIONOTHER78,Tbx20,encodes a T-box family member; involved in the regulation of developmental processes; essential for heart development,"","JM 7/31/2024 Opn4, Eomes Moved above",Curated,Tbx20,Novel_7,GanglionOther78
NOVEL_7,GANGLIONOTHER78,Tagln2,specific function of this protein has not yet been determined; thought to be a tumor suppressor,"","",Curated,Tagln2,Novel_7,GanglionOther78
NOVEL_8,GANGLIONOTHER78,Prkcq,part of the protein kinase C family; important for T-cell activation; required for the activation of transcription factors NF-kappaB and AP-1,Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Prkcq,Novel_8,GanglionOther78
NOVEL_8,GANGLIONOTHER78,Tac1,"encodes 4 products of the tachykinin peptide hormone family (substance P, neurokinin A, neuropeptide K, and neuropeptide gamma); known to induce behavioral responses and function as vasodilators and secretagogues","","",Curated,Tac1,Novel_8,GanglionOther78
N-OODSGC,OODSGC,Mmp17,breaks down components of the extracellular matrix; anchored to the cell membrane via a GPI anchor,"","",Curated,Mmp17,N-ooDSGCs,ooDSGCs
N-OODSGC,OODSGC,Cartpt,"encodes a preproprotein that is proteolytically processed to generate multiple biologically active peptides; involved in appetite, energy balance, body weight, reward and addiction, stress response","","",Curated,Cartpt,N-ooDSGCs,ooDSGCs
V-OODSGC,OODSGC,Col25a1,encodes a brain-specific membrane associated collagen,"Fig 2G,H: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-gr2.jpg",cluster 16 split into 2 types depending on whether Calb1 expressed or not,Curated,Col25a1,V-ooDSGCs,ooDSGCs
V-OODSGC,OODSGC,Calb2,enables calcium ion binding activity involved in regulation of presynpatic cytosolic calcium ion concentration; message targeting; intracellular calcium buffering; modulator of neuronal excitability; predicted to be involved in regulation of long-term synaptic potentiation and regulation of presynaptic cytosolic calcium ion concentration,"","",Curated,Calb2,V-ooDSGCs,ooDSGCs
V-OODSGC,OODSGC,Cartpt,"encodes a preproprotein that is proteolytically processed to generate multiple biologically active peptides; involved in appetite, energy balance, body weight, reward and addiction, stress response","","",Curated,Cartpt,V-ooDSGCs,ooDSGCs
D-OODSGC,OODSGC,Col25a1,encodes a brain-specific membrane associated collagen,"Fig 2G,H: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-gr2.jpg","",Curated,Col25a1,D-ooDSGCs,ooDSGCs
D-OODSGC,OODSGC,Calb1,calcium-binding protein; buffer entry of calcium upon stimulation of glutamate receptors; may play a role in preventing neuron death,"","",Curated,Calb1,D-ooDSGCs,ooDSGCs
D-OODSGC,OODSGC,Cartpt,"encodes a preproprotein that is proteolytically processed to generate multiple biologically active peptides; involved in appetite, energy balance, body weight, reward and addiction, stress response","","",Curated,Cartpt,D-ooDSGCs,ooDSGCs
MAYBE T-OODSGC,OODSGC,Gpr88,encodes a G protein-coupled receptor found almost exclusively in the striatum (brain structure that controls motor function and cognition),Fig 2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-gr2.jpg,"grouped as ""other"" in paper due to lack of shared marker gene (Cartpt); dendrites bistratified in sublaminae (S2/S4) of the IPL",Curated,Gpr88,maybe T-ooDSGCs,ooDSGCs
MAYBE T-OODSGC,OODSGC,Fam19a4,chemotactic activity,Fig 2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-gr2.jpg,"grouped as ""other"" in paper due to lack of shared marker gene (Cartpt); dendrites bistratified in sublaminae (S2/S4) of the IPL",Curated,Fam19a4,maybe T-ooDSGCs,ooDSGCs
NOVEL_19,N-RGC,Penk,"encodes a preproprotein that is proteolytically procesed to generate multiple protein products, including pentapeptide opioids Met-enkaphalin and Leu-enkephalin, which are stored in synaptic vesicles","","",Curated,Penk,Novel_19,N-RGCs
NOVEL_19,N-RGC,Prdm8,encodes a protein that belongs to a family of histone methyltransferases that predominantly act as negative regulators of transcription,"","",Curated,Prdm8,Novel_19,N-RGCs
NOVEL_19,N-RGC,Slc24a2,encodes a member of the calcium/cation antiporter superfamily of transport proteisn; may also play a neuroprotective role during ischemic brain injury,"","",Curated,Slc24a2,Novel_19,N-RGCs
NOVEL_20,N-RGC,Penk,"encodes a preproprotein that is proteolytically procesed to generate multiple protein products, including pentapeptide opioids Met-enkaphalin and Leu-enkephalin, which are stored in synaptic vesicles","","",Curated,Penk,Novel_20,N-RGCs
NOVEL_20,N-RGC,Gal,"encodes a neuroendocrine peptide, which is a precursor that is proteolytically processed to generate two mature peptides: galanin and galanin message-associated peptide (GMAP)","","",Curated,Gal,Novel_20,N-RGCs
NOVEL_25,N-RGC,Slc17a1,predicted to enable sialic acid transmembrane transporter activity,Fig 2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-gr2.jpg,dendrites stratified exclusively in S5 of IPL,Curated,Slc17a1,Novel_25,N-RGCs
NOVEL_26,N-RGC,Penk,"encodes a preproprotein that is proteolytically procesed to generate multiple protein products, including pentapeptide opioids Met-enkaphalin and Leu-enkephalin, which are stored in synaptic vesicles","","",Curated,Penk,Novel_26,N-RGCs
NOVEL_26,N-RGC,Igfbp,"","","",Curated,Igfbp,Novel_26,N-RGCs
NOVEL_29,N-RGC,Stxbp6,enables cadherin binding activity involved in cell-cell adhesion; predicted to be involved in Golgi to plasma membrane transport and exocytosis,"","",Curated,Stxbp6,Novel_29,N-RGCs
NOVEL_29,N-RGC,Prlr,"encodes a receptor for the anterior pituitary hormone, prolactin, and belongs to the type I cytokine receptor family","","",Curated,Prlr,Novel_29,N-RGCs
NOVEL_35,N-RGC,Igfbp4,member of the insulin-like growht factor binding protein family; protein binds both insulin-like growth factors I and II + circulates in the plasma in both glycosylated and non-glycosylated forms,"","",Curated,Igfbp4,Novel_35,N-RGCs
NOVEL_35,N-RGC,Chrm2,"","","",Curated,Chrm2,Novel_35,N-RGCs
NOVEL_39,N-RGC,S100b,"involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation; may function in neurite extension, astrocytosis and axonal proliferation, and inhibition of microtubule assembly","","",Curated,S100b,Novel_39,N-RGCs
NOVEL_39,N-RGC,Neurod2,induce transcription from neuron-specific promoters like the GAP-43 pomoter,"","",Curated,Neurod2,Novel_39,N-RGCs
NOVEL_11,GANGLIONOTHER,Serpinb1b,contributes to serine-type endopeptidase inhibitor activity; involved in negative regulation of interleukin-1 beta production,"","",Curated,Serpinb1b,Novel_11,GanglionOther
NOVEL_11,GANGLIONOTHER,Gm17750,"","","",Curated,Gm17750,Novel_11,GanglionOther
NOVEL_14,GANGLIONOTHER,Cartpt,"encodes a preproprotein that is proteolytically processed to generate multiple biologically active peptides; involved in appetite, energy balance, body weight, reward and addiction, stress response",Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Cartpt,Novel_14,GanglionOther
NOVEL_14,GANGLIONOTHER,Vit,encodes an extracellular matrix protein; may be associated w/ cell adhesion and migration; likely role in neural development,"","",Curated,Vit,Novel_14,GanglionOther
NOVEL_15,GANGLIONOTHER,Apela,encodes a peptide hormone that binds to the Apelin receptor,"","",Curated,Apela,Novel_15,GanglionOther
NOVEL_18,GANGLIONOTHER,Pcdh20,"specific function is undetermined, but thought to play a role in the establishment and function of specific cell-cell connections in the brain","","",Curated,Pcdh20,Novel_18,GanglionOther
NOVEL_18,GANGLIONOTHER,4833423e24rik,"predicted to enable oxidoreductase activity, acting on paired donors; predicted to be involved in lipid metabolic process","",aka Fads2b,Curated,4833423e24rik,Novel_18,GanglionOther
NOVEL_27,GANGLIONOTHER,Prkcg,part of the protein kinase C family; important for T-cell activation; required for the activation of transcription factors NF-kappaB and AP-1,"","",Curated,Prkcg,Novel_27,GanglionOther
NOVEL_34,GANGLIONOTHER,Tpbg,"encodes a leucine-rich transmembrane glycoprotein that may be involved in cell adhesion; required for normal development of synaptic ribbons and efficient release of neurotransmitters from RBCs to other cells; activates the CXCL12/CXCR7/pERK axis, which regulates the migratory and angiogenic activities of pericytes","","",Curated,Tpbg,Novel_34,GanglionOther
NOVEL_36,GANGLIONOTHER,Stxbp6,enables cadherin binding activity involved in cell-cell adhesion; predicted to be involved in Golgi to plasma membrane transport and exocytosis,"","",Curated,Stxbp6,Novel_36,GanglionOther
NOVEL_36,GANGLIONOTHER,Coch,plays a role in the control of cell shape and motility in the trabecular meshwork,"","",Curated,Coch,Novel_36,GanglionOther
NOVEL_37,GANGLIONOTHER,Ceacam,"highly glycosylated cell surface anchored, intracellular, and intercellular signaling molecules w/ diverse functions; cell differentiation and transformation; modulating immune responses","","laminates just above and below S2 and S4, respectively",Curated,Ceacam,Novel_37,GanglionOther
NOVEL_37,GANGLIONOTHER,Cdh1,encodes a classical cadherin of the cadherin superfamily; alternative splicing,Fig S2C: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Cdh1,Novel_37,GanglionOther
NOVEL_44,GANGLIONOTHER,Bhlhe22,"regulate cell fate determination, proliferation, and determination",Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Bhlhe22,Novel_44,GanglionOther
NOVEL_44,GANGLIONOTHER,Fxyd6,"encodes phosphohippolin, which likely affects the activity of Na, K-ATPase","","",Curated,Fxyd6,Novel_44,GanglionOther
IFN-RESPONSE ASTROCYTE,ASTROCYTE,Ifit3,enables identical protein binding activity; involved in negative regulation of apoptotic process and cell population proliferation,"","",Curated,Ifit3,IFN-response astrocytes,Astrocytes
IFN-RESPONSE ASTROCYTE,ASTROCYTE,Ifit1,encodes a protein that may inhibit viral replication and translational initiation,"","",Curated,Ifit1,IFN-response astrocytes,Astrocytes
IGF2+ ASTROCYTE,ASTROCYTE,Igf2,"encodes a member of the insulin family of polypeptide growth factors, which are involved in development and growth","","",Curated,Igf2,IGF2+ astrocytes,Astrocytes
IGF2+ ASTROCYTE,ASTROCYTE,Angpt4,angiopoietins are proteins with important roles in vascular development and angiogenesis,"","",Curated,Angpt4,IGF2+ astrocytes,Astrocytes
IGF2+ ASTROCYTE,ASTROCYTE,Vegfa,encodes a heparin-binding protein; induces proliferation and migration of vascular endothelial cells; essential for physiological and pathological angiogenesis,"","",Curated,Vegfa,IGF2+ astrocytes,Astrocytes
REACTIVE ASTROCYTE,ASTROCYTE,Cp,encodes a metalloprotein that binds most of the copper in plasma and is involved in the peroxidation of Fe(II)transferrin to Fe(III)transferrin,"","",Curated,Cp,reactive astrocytes,Astrocytes
REACTIVE ASTROCYTE,ASTROCYTE,Lcn2,encodes a neutrophil gelatinase-associated lipocalin; plays a role in innate immunity by limiting bacterial growth,"","",Curated,Lcn2,reactive astrocytes,Astrocytes
REACTIVE ASTROCYTE,ASTROCYTE,Chil1,"","","",Curated,Chil1,reactive astrocytes,Astrocytes
CYCLING ASTROCYTE,ASTROCYTE,Mki67,enables protein C-terminus binding activity; involved in regulation of chromosome separation and regulation of mitotic nuclear division; colocalizes w/ condensed chromosome,"","",Curated,Mki67,cycling astrocytes,Astrocytes
CYCLING ASTROCYTE,ASTROCYTE,Cks2,CKS2 protein binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function,"","",Curated,Cks2,cycling astrocytes,Astrocytes
CYCLING ASTROCYTE,ASTROCYTE,Cenpa,encodes a centromere protein,"","",Curated,Cenpa,cycling astrocytes,Astrocytes
RARE CYCLING ASTROCYTE,ASTROCYTE,Nes,predicted to enable CCR5 chemokine receptor binding activity,"","",Curated,Nes,rare cycling astrocytes,Astrocytes
RARE CYCLING ASTROCYTE,ASTROCYTE,Fabp7,"encodes a small, highly conserved cytoplasmic protein that bind long-chain fatty acids and other hydrophobic ligands; important in the establishment of the radial glial fiber in the developing brain","","",Curated,Fabp7,rare cycling astrocytes,Astrocytes
CYCLING MICROGLIA,MICROGLIA,Mki67,enables protein C-terminus binding activity; involved in regulation of chromosome separation and regulation of mitotic nuclear division; colocalizes w/ condensed chromosome,"","",Curated,Mki67,cycling microglia,Microglia
CYCLING MICROGLIA,MICROGLIA,Top2a,"encodes a DNA topoisomerase; involved in chromosome condensation, chromatid separation, and relief of torsional stress during DNA transcription and replication","","",Curated,Top2a,cycling microglia,Microglia
CYCLING MICROGLIA,MICROGLIA,Ccnb2,B-type cyclin; essential in cell cycle regulatory machinery,"","",Curated,Ccnb2,cycling microglia,Microglia
IFN-RESPONSE MG,MG,Ifit3,enables identical protein binding activity; involved in negative regulation of apoptotic process; negative regulation of cell population proliferation; response to virus,"","",Curated,Ifit3,IFN-response MG,Muller Glia
IFN-RESPONSE MG,MG,Oasl2,enables 2'-5'-oligoadenylate synthetase activity and double-stranded RNA binding activity; involved in purine nucleotide biosynthetic process,"","",Curated,Oasl2,IFN-response MG,Muller Glia
IFN-RESPONSE MG,MG,Isg15,chemotactic activity towards neutrophils; direction of ligated target proteins to intermediate filaments; cell-to-cell signaling; antiviral activity,"","",Curated,Isg15,IFN-response MG,Muller Glia
IFN-RESPONSE MG,MG,Bst2,involved in the growth and development of B cells,"","",Curated,Bst2,IFN-response MG,Muller Glia
REACTIVE MG,MG,Mt2,predicted to enable cadmium ion binding activity and zinc ion binding activity,"","",Curated,Mt2,reactive MG,Muller Glia
REACTIVE MG,MG,Gfap,encodes one of the major intermediate filament proteins of mature astrocytes,"","",Curated,Gfap,reactive MG,Muller Glia
REACTIVE MG,MG,Vim,encodes a type III intermediate filament protein,"","",Curated,Vim,reactive MG,Muller Glia
EAR2+ MONOCYTE,MONOCYTE,Ear2,predicted to enable ribonuclease activity; involved in chemotaxis,"","",Curated,Ear2,Ear2+ monocytes,monocytes
EAR2+ MONOCYTE,MONOCYTE,Ace,encodes an enzyme involved in blood pressure regulation and electrolyte balance,"","",Curated,Ace,Ear2+ monocytes,monocytes
