Cell Type	Cell Marker	Subclass	Markers	Type within Subclass	Type-Specific Markers	Function of Marker	Image Link	Notes
Glial cells	NA	Muller Glia	NA	reactive MG	Gfap	encodes one of the major intermediate filament proteins of mature astrocytes		
Glial cells	NA	Muller Glia	NA	reactive MG	Vim	encodes a type III intermediate filament protein		
Other 	NA	endothelial cells	Cldn5	NA	NA	encodes a member of the claudin family; claudins are integral membrane proteins and components of tight junction strands 		
Other 	NA	endothelial cells	Ly6c1	NA	NA	predicted to enable acetylcholine receptor binding activity and acetylcholine receptor inhibitor activity 		
Other 	NA	endothelial cells	Rbpms	NA	NA	 RNA binding protein with multiple splicing; regulates cell development in cardiomyocytes	https://www.mdpi.com/1422-0067/21/23/9330	
Other 	NA	endothelial cells	Pecam1	NA	NA	makes up a large portion of endothelial cell intercellular junctions; likely involved in leukocyte migration, angiogenesis, and integrin activation	https://www.researchgate.net/figure/Immunofluorescent-staining-for-Adam15-PECAM-1-and-PDGFR-in-normal-and-ischemic_fig1_5470502	
Other 	NA	Pericytes	Pdgfrb	NA	NA	encodes a cell surface tyrosine kinase receptor for members of the platelet-derived growth factor family; essential for normal development of cardiovascular system + aids in rearrangement of the actin cytoskeleton	https://www.researchgate.net/figure/Retinal-vascular-development-in-pdgf-b-ret-ret-mice-Retinal-vessels-in-control-pdgf-b_fig5_10631184	
Other 	NA	Pericytes	Acta2	NA	NA	encades 1 of 6 actin proteins, smooth muscle actin, which is involved in vacular contractility and blood pressure homeostasis		
Other 	NA	Pericytes	Rgs5	NA	NA	prevents vagal-related bradycardia and atrial trachycardia by negatively regulating the IKA Ach current		
Other 	NA	Pericytes	Mgp	NA	NA	matrix Gla protein; functions as a physiological inhibitor of ectopic tissue calcification 		
Other 	NA	Pericytes	Rbpms	NA	NA	 RNA binding protein with multiple splicing; regulates cell development in cardiomyocytes	https://www.mdpi.com/1422-0067/21/23/9330	
Other 	NA	RPE	Rdh5	NA	NA	retinol dehydrogenase; catalyzes the final step in the biosynthesis of 11-cis retinaldehyde (universal chromophore of visual pigments)		
Other 	NA	RPE	Rpe65	NA	NA	encodes protein that is a component of the vitamin A visual cycle of the retina	https://www.researchgate.net/figure/Immunohistochemical-localization-of-RPE65-M-L-and-S-cone-opsins-and-rod-opsin-in-normal_fig2_45424022	
Other 	NA	RPE	Rlbp1	NA	NA	encodes water-soluble protein; may be a functional component of the visual cycle 		
Other 	NA	conjunctival epithelium	Krt15	NA	NA	member of the keratin gene family; keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells		
Other 	NA	conjunctival epithelium	Gsto1	NA	NA	encodes an omega class glutathione S-transferase with glutathione-dependent thiol transferase and dehydroascorbate reductase activities; acts as a homodimer and is found in the cytoplasm		
Other 	NA	ciliary epithelium	Gpx3	NA	NA	encodes a protein that belongs to the glutathione peroxidase family, members of which catalyze the reduction of organic hydroperoxides and hydrogen peroxide by glutathione -- protect cells against oxidative damage		
Other 	NA	ciliary epithelium	Penk	NA	NA	encodes a preproprotein that is proteolytically procesed to generate multiple protein products, including pentapeptide opioids Met-enkaphalin and Leu-enkephalin, which are stored in synaptic vesicles		
Other 	NA	scleral fibroblasts	Dcn	NA	NA	encodes a member of the small leucine-rich proteoglycan family		
Other 	NA	scleral fibroblasts	Igfbp5	NA	NA	enables insulin-like growth factor I binding activity; involved in cellular response to cAMP		
Other 	NA	melanocytes	Serpina3n	NA	NA	predicted to enable serine-type endopeptidase inhibitor activity		
Other 	NA	melanocytes	Mlana	NA	NA	role in regulating mammalian pigmentation		
Immune Cells	NA	neutrophils	Retnlg	NA	NA	predicted to enable hormone activity 		
Immune Cells	NA	neutrophils	S100a9	NA	NA	ecodes a member of the S100 family of proteins; involved in cell cycle progression and differentiation; may function in inhibition of casein kinase		
Immune Cells	NA	neutrophils	Srgn	NA	NA	encodes protein known as a hematopoietic cell granule proteglycan; associated w/ the macromolecular complex of granzymes and perforin		
Immune Cells	NA	neutrophils	Slpi	NA	NA	encodes a secreted inhibitor which protects epithelial tissues from serine proteases 		
Immune Cells	NA	monocytes	Ccr2	NA	NA	receptor for monocyte chemoattractant protein-1, a cytokine which specifically mediates monocyte chemotaxis; mediates agonist-dependent calcium mobilization and inhibition of adenylyl cyclas		
Immune Cells	NA	monocytes	Ms4a6c	NA	NA			
Immune Cells	NA	monocytes	Ccr2	NA	NA	receptor for monocyte chemoattractant protein-1, a cytokine which specifically mediates monocyte chemotaxis; mediates agonist-dependent calcium mobilization and inhibition of adenylyl cyclase		
Immune Cells	NA	monocytes	Cd209a	NA	NA	enables carbohydrate derivative binding activity and mannose binding activity; predicted to be involved in immune response 		
Immune Cells	NA	monocytes	Ms4a7	NA	NA	associated w/ mature cellular function in the monocytic lineage; may be a component of a receptor complex involved in signal transduction		
Immune Cells	NA	monocytes	Tgfbi	NA	NA	encodes an RGD-containing protein that binds to type I, II, and IV collagen		
Immune Cells	NA	monocytes	NA	Ear2+ monocytes	Ear2	predicted to enable ribonuclease activity; involved in chemotaxis 		
Immune Cells	NA	monocytes	NA	Ear2+ monocytes	Ace	encodes an enzyme involved in blood pressure regulation and electrolyte balance 		
Immune Cells	NA	dendritic cells	Cd74	NA	NA	encodes a protein that associates w/ class II major histocompatability complex and is an important chaperone that regulates antigen presentation for immune response; serves as cell surface receptor for the cytokine macrophage migration inhibitory factor, which initiates survival pathways and cell proliferation when bound to the encoded protein		
Immune Cells	NA	dendritic cells	Lsp1	NA	NA	encodes an intracellular F-actin binding protein		
Immune Cells	NA	dendritic cells	Ccr2	NA	NA	receptor for monocyte chemoattractant protein-1, a cytokine which specifically mediates monocyte chemotaxis; mediates agonist-dependent calcium mobilization and inhibition of adenylyl cyclase		
Immune Cells	NA	dendritic cells	Cd209a	NA	NA	enables carbohydrate derivative binding activity and mannose binding activity; predicted to be involved in immune response 		
Immune Cells	NA	BAMs	Ms4a7	NA	NA	associated w/ mature cellular function in the monocytic lineage; may be a component of a receptor complex involved in signal transduction		
Immune Cells	NA	BAMs	Lyz2	NA	NA	enables lysozyme activity; involved in defense response to bacterium		
Immune Cells	NA	macrophages	Ms4a7	NA	NA	associated w/ mature cellular function in the monocytic lineage; may be a component of a receptor complex involved in signal transduction		
Immune Cells	NA	macrophages	Tgfbi	NA	NA	encodes an RGD-containing protein that binds to type I, II, and IV collagen		
Immune Cells	NA	B cells	Cd79a	NA	NA	predicted to enable identical protein binding activity; involved in B cell differentiation and B cell proliferation		
Immune Cells	NA	B cells	Ms4a1	NA	NA	encodes a B-lymphocyte surface molecule which plays a role in the development and differentiation of B-cells into plasma cells 		
Immune Cells	NA	plasma B cells	Igha	NA	NA	enables antigen binding activity; acts upstream of or within humoral immune response mediated by circulating immunoglobin and mucosal immune response		
Immune Cells	NA	plasma B cells	Jchain	NA	NA	enables IgA binding activity and protein homodimerization activity		
Immune Cells	NA	T cells	Cd3d	NA	NA	encodes a protein that is part of the T-cell receptor/CD3 complex and is involved in T-cell development and signal transduction		
Immune Cells	NA	T cells	Trbc2	NA	NA	predicted to enable antigen binding activity and immunoglobulin receptor binding activity; predicted to be integral component of membrane		
Immune Cells	NA	T/NK cells	Nkg7	NA	NA	predicted to be an integral component of plasma membrane 		
Immune Cells	NA	T/NK cells	Trbc2	NA	NA	predicted to enable antigen binding activity and immunoglobulin receptor binding activity; predicted to be integral component of membrane		
